hour,heating_c,cooling_c,reason
740,16.7,29.4,verified autonomous action
741,16.7,29.4,verified autonomous action
742,16.7,29.4,verified autonomous action
743,16.7,29.4,verified autonomous action
744,16.7,29.4,verified autonomous action
745,16.7,29.4,verified autonomous action
746,16.7,29.4,verified autonomous action
747,16.7,29.4,verified autonomous action
748,16.7,29.4,verified autonomous action
749,16.7,29.4,verified autonomous action
750,16.7,29.4,verified autonomous action
751,16.7,29.4,verified autonomous action
752,16.7,29.4,verified autonomous action
753,16.7,29.4,verified autonomous action
754,16.7,29.4,verified autonomous action
755,16.7,29.4,verified autonomous action
756,16.7,29.4,verified autonomous action
757,16.7,29.4,verified autonomous action
758,16.7,29.4,verified autonomous action
759,16.7,29.4,verified autonomous action
760,16.7,29.4,verified autonomous action
761,16.7,29.4,verified autonomous action
762,16.7,29.4,verified autonomous action
763,16.7,29.4,verified autonomous action
764,16.7,29.4,verified autonomous action
765,16.7,29.4,verified autonomous action
766,16.7,29.4,verified autonomous action
767,16.7,29.4,verified autonomous action
768,16.7,29.4,verified autonomous action
769,16.7,29.4,verified autonomous action
770,16.7,29.4,verified autonomous action
771,16.7,29.4,verified autonomous action
